Directory,FileName,ScanType,SliceValidity,Manufacturer,ManufacturersModelName,InstitutionName,ScanningSequence,SliceThickness,EchoTime,RepetitionTime,FlipAngle,PhaseEncodingDirection,SpacingBetweenSlices
/media/pablo/Kirk/REDLAT/sub-BN000115/anat,sub-BN000115_run-1_FLAIR.json,Otro,N/A,GE,Signa HDxt,CIMAC,SE\IR,1,0.100372,6,90,No se encontró información,0.5
/media/pablo/Kirk/REDLAT/sub-BN000115/anat,sub-BN000115_run-1_T1w.json,T1,valid,GE,Signa HDxt,CIMAC,GR\IR,1,0.003552,0.008568,13,No se encontró información,1
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-1_FLAIR.json,Otro,N/A,Siemens,Skyra,D P I,SE\IR,1,0.439,4.8,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-1_FLAIRa.json,Otro,N/A,Siemens,Skyra,D P I,SE\IR,1,0.439,4.8,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-1_T1w.json,T1,valid,Siemens,Skyra,D P I,GR\IR,1,0.00227,2.3,8,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-1_T1wa.json,T1,valid,Siemens,Skyra,D P I,GR\IR,1,0.00227,2.3,8,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-1_T2w.json,T2,N/A,Siemens,Skyra,D P I,GR,4,0.02,0.65,20,i,4
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-2_FLAIR.json,Otro,N/A,Siemens,Skyra,D P I,SE\IR,1,0.439,4.8,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-CU620/anat,sub-CU620_run-2_T1w.json,T1,valid,Siemens,Skyra,D P I,GR\IR,1,0.00227,2.3,8,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF035/anat,sub-AF035_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF035/anat,sub-AF035_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF035/dwi,sub-AF035_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF036/anat,sub-AF036_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF036/anat,sub-AF036_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
